"tamanho","tempoNaive", "tempoDac", "tempoDacMelhorado"
50, 0.000021, 0.000011, 0.000017
100, 0.000052, 0.000017, 0.000032
200, 0.000212 , 0.00004, 0.000064
400, 0.000847, 0.000099, 0.000138
800, 0.002944, 0.000204, 0.000275
1600, 0.01174, 0.000431, 0.00059
6400, 0.099088, 0.000439, 0.002891
10000, 0.197225, 0.000682, 0.00302
20000, 0.687774, 0.001477, 0.004812
40000, 2.7811, 0.003255, 0.010476
80000, 12.1192, 0.007771, 0.022021
100000, 19.4982, 0.010422, 0.026832
200000, 79.7776, 0.021458, 0.059689
400000, 322.952, 0.04428, 0.113416
800000, 1281.08, 0.091098, 0.235929
1000000, 1992.13, 0.117862, 0.296209

